	location	address	adname	cityname	id	importance	name	pname	tel	type	typecode	经	纬	keywords
0	104.715296,31.784053	太白西路西山公园山顶	江油市	绵阳市	B03300PKL2	[]	欢乐世界	四川省	0816-3599255	体育休闲服务;休闲场所;游乐场	080501	104.715296	31.784053	欢乐世界
1	120.543715,31.841407	杨舍镇湖滨南路暨阳湖生态园内	张家港市	苏州市	B02001AKE6	[]	欢乐世界	江苏省	0512-35023003;0512-35023000	体育休闲服务;休闲场所;游乐场	080501	120.543715	31.841407	欢乐世界
2	108.975122,32.709362	高新区秦岭大道2号	汉滨区	安康市	B0FFFPXVZY	[]	欢乐世界	陕西省	0915-2391666	体育休闲服务;休闲场所;游乐场	080501	108.975122	32.709362	欢乐世界
3	106.509310,29.504526	西郊路35附近	九龙坡区	重庆市	B0FFF2DQ8C	[]	欢乐世界	重庆市	[]	体育休闲服务;休闲场所;游乐场	080501	106.509310	29.504526	欢乐世界
4	113.306984,23.137483	先烈中路120广州动物园内	越秀区	广州市	B00141S9FI	[]	欢乐世界	广东省	[]	体育休闲服务;休闲场所;游乐场	080501	113.306984	23.137483	欢乐世界
5	116.496399,39.869064	东四环小武基北路北京欢乐谷	朝阳区	北京市	B0FFFQ09YF	[]	欢乐世界	北京市	[]	体育休闲服务;休闲场所;游乐场	080501	116.496399	39.869064	欢乐世界
6	126.527729,43.861151	中东城市广场3楼	船营区	吉林市	B0FFH6H5NE	[]	欢乐世界	吉林省	[]	体育休闲服务;休闲场所;游乐场	080501	126.527729	43.861151	欢乐世界
7	120.538760,31.840570	杨舍镇南二环路	张家港市	苏州市	B0FFGRMW9O	[]	欢乐世界	江苏省	[]	体育休闲服务;休闲场所;游乐场	080501	120.538760	31.840570	欢乐世界
8	125.330894,43.880893	民康路树勋街249号儿童公园	南关区	长春市	B0FFHDQCKP	[]	欢乐世界	吉林省	[]	体育休闲服务;休闲场所;游乐场	080501	125.330894	43.880893	欢乐世界
9	110.004891,39.812725	达拉特北路与达拉特南路交叉口东北150米北国新天地附近	东胜区	鄂尔多斯市	B0FFI09GR3	[]	欢乐世界	内蒙古自治区	[]	体育休闲服务;休闲场所;游乐场	080501	110.004891	39.812725	欢乐世界
10	108.976913,32.709328	9路;11路;22路	汉滨区	安康市	BV10622208	[]	欢乐世界(公交站)	陕西省	[]	交通设施服务;公交车站;公交车站相关	150700	108.976913	32.709328	欢乐世界
11	117.515900,30.649076	8路	贵池区	池州市	BV10927298	[]	池州欢乐世界(公交站)	安徽省	[]	交通设施服务;公交车站;公交车站相关	150700	117.515900	30.649076	欢乐世界
12	113.332909,23.002594	大石镇番禺大道与汉溪大道交口长隆旅游度假村内长隆欢乐世界	番禺区	广州市	B00141I8K6	[]	长隆欢乐世界(北门)	广东省	[]	通行设施;临街院门;临街院门	991400	113.332909	23.002594	欢乐世界
